tweet,label,,,,
еб џЎн  ЎЁбя еб д«г Џбм «бж”«ѕ… ћнѕ«р њ ед«бя Ён —ЁЌ бг н” ЎнЏ «б√ЎЁ«б «бджг Џбм «бж”«ѕ… ћнѕ«р б√д «б’е«нд… ёЎЏж« —ƒж”ег. #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня«†,anger,,,,
«бЌ«ћ «»ж ў«Ё— «б“н«ѕн дЏбд гжёЁд« «бм «ќ— «бѕе— гё«жг… ж»ж’б д« Ёб”Ўнд† ё÷н д«  Ќ—н— Ёб”Ўнд #«ббж«Ѕ_«бж«Ќѕ_ж«б«—»Џжд Џ’«∆» √еб «бЌё √ќж… “нд» ћджѕ «бќ“Џбн https://t.co/dnbqTYXDT7†,none of them,,,,
"√нше« «б‘»«» «бћ«гЏншжд Ён √г—ня«!ёѕ ‘—Џ г »д÷«бт ‘—нЁт  Ќ  ÷џжЎ Ќяжг яг «бё«”н…° «б н  ѕ«ЁЏ Џд «бян«д «б’№№№№.№.енждн. «б≈г«г «б”нѕ Џбн «бќ«гд∆н (ѕ«г ўбе) Ён —”«б… ≈бм «бЎбш«» «бћ«гЏншнд ж«б‘»«» Ён «бжб«н«  «бг шЌѕ… «б√г—нянш… 25/05/2024 https://t.co/4W6wtVpjFw†",favoritism,,,,
#—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« б«де« «бѕ«Џг «б«жб ббЌ—» ÷ѕ Ёб”Ўнд ё«ЎЏже« б«де« «бѕ«Џг «б«жб бб«—е«» ё«ЎЏже« б«де« «бѕ«Џг «б«жб бб«дЌб«б «б«ќб«ён ё«ЎЏже« б«де« «бѕ«Џг «б«жб б ћжнЏ «б‘Џж» жде» Ћ—ж« е« ж«б”нЎ—… Џбм гёѕ—« е« Ёё«ЎЏжег б«д «бгё«ЎЏ…  Џдн «ден«— «ё ’«ѕег жёЎЏ «б«гѕ«ѕ«  Џд «бЏѕж «б’енждн†,anger,,,,
”бЎ«д ягн… яж«—Ћ н«”« — »”†,anger,,,,
е–« ж«ёЏег жнѕЏжд Ќёжё «б≈д”«д жЌёжё «бЎЁбХ #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« https://t.co/EtA7uIaHSS†,anger,,,,
"д—м Ён «б»Ћ «бг»«‘— ћ—нг… «б≈»«ѕ… «бћг«Џн… Ён —ЁЌ ж џ“… ???? ° жбяд √г—ня«  ёжб «”—«∆нб »—н∆… ° »«нѕд нёжб «”—«∆нб »—н∆… ° «б‘нЎ«д нёжб «”—«∆нб »—н∆… ° ж«г—ня« «б‘нЎ«д ен «бќ’г ж«бЌягх #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« . https://t.co/TGhiUPvUlU†",anger,,,,
”нд«—нж нћбЎ бж »Џѕ е«б—ћЏе дќ”— ж«ббе гѕ—н ж‘ ггяд н’н—†,none of them,,,,
"Ќ÷—д« «бнжг жЁн √ћж«Ѕ ”«ѕ е« «б√бЁ… ж«бгЌ»… ж«бж∆«г «бге—ћ«д «бѕжбн «б√жб бб√ёбн«  «бгдЏёѕ Ён »«»б "" ге—ћ«д √ёбн« д« бб”б«г"" Ён гѕнд… Ќгж—«»н «б”н«Ќн… ж«б–н н”бЎ «б÷жЅ Џбм гяжд«  «бгћ гЏ «бЏ—«ён гд «б√ёбн… ж«бгяжд… гд (??) √ёбн… гд “«ќж «бм «б»’—… »г‘«—я… гЌбн… жѕжбн… »√“н«∆ег .. https://t.co/kSap5AKYbZ†",happiness,,,,
«б’ж—… «б√жбм Ён Ёб”Ўнд ж«бЋ«дне Ён «бЏ—«ё ж«бгћ—г ж«Ќѕ б–« дёжб #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« «б н бг  ”бг «бѕжб гд ‘—ж—е« #—ЁЌ_ х»«ѕ #—ЁЌ_гё»—…_«бџ“«… #—ЁЌ_ќЎ_√Ќг— https://t.co/Tc73JpiJcb†,anger,,,,
"Ён яб ябг… нбёне« Џбм г”«гЏд« «»д «б”ж« — Ќ»н»д« «бгбЋг #«»ж_Џ»нѕ… н‘я— жнЋдн Џбм гжёЁ —ћ«б «б”ж« — «бгё«жг… «бЏ—«ён… «б–нд н’—жд Џбм ≈”д«ѕ #џ“… »яб г« н” ЎнЏжд ж«бм «б«д б« “«б ""«бгЎн «бЏ—«ён"" н—нѕ гжёЁ гд «бгё«жг… « ћ«е џ“… °!†",favoritism,,,,
’«»—нд Џбне Ўжб е«бгѕе ж«ќ— е« нћн» я«—Ће г«нћн»е« б«Џ» д«‘∆ .. ћЏбя г« ёжг н«гЏЎж» н«гЏжё†,anger,,,,
«б‘Џ» «бЏ—«ён б« нд”м √’Ќ«» «бЁ÷б  —Ќн» я»н— гд ё»б ё»«∆б »дн «бЌ”д Ён «бдћЁ «б«‘—Ё б #«б‘нќ_ён”_«бќ“Џбн ќб«б Ќ÷ж—е гћб” Џ“«Ѕ «б‘нќ гЋдм ¬б Ќ« г ¬б Ќ”д «бЌ”д«жн https://t.co/fTOj8HvoI9†,favoritism,,,,
÷—»«  «б№ г№ ё№?жг… «бЁб”Ўндн… Ён #џ“… жгд «бћдж» Ќ№ № “» «ббе н’Џѕ Џгбн« е ÷—»«  «бнг«дннд  гдЏ «б≈гѕ«ѕ«  бб№ян№ №?д Џ»— «б»Ќ— жя”—  ‘жя… «г—ня« жен» е« «бЁ’«∆б «бЏ—«ён…  ё’Ё «еѕ«Ё джЏн… Ён «бЏгё «б≈”№ № —?∆нбн «бгЌ’б… е“нг… г–б… ббян№ ?д жЌбЁ«Ѕе #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня«†,anger,,,,
#‘нќ #«б«гнд https://t.co/QdXEx3dsUX†,happiness,,,,
?? еб «д  гЏ «г ÷ѕ  гѕнѕ жб«н… Ћ«дн… бб”нѕ гЌгѕ ‘н«Џ «б”жѕ«дн њ ж‘дж «б”»» «–я—бд« https://t.co/2aIvkknKO0†,none of them,,,,
«бЌ«ћ «»ж ў«Ё— «б“н«ѕн дЏбд гжёЁд« «бм «ќ— «бѕе— гё«жг… ж»ж’б д« Ёб”Ўнд† ё÷н д«  Ќ—н— Ёб”Ўнд #«ббж«Ѕ_«бж«Ќѕ_ж«б«—»Џжд Џ’«∆» √еб «бЌё √ќж… “нд» ћджѕ «бќ“Џбн https://t.co/uFXjUUFKR1†,favoritism,,,,
≈цдуш «бъ√у»ъ—у«—у буЁцн дуЏцнгт .. «б–я—м «б”джн… «бЏ«‘—… «б‘енѕ ћ«”г ’«ѕё я«ўг «” ‘еѕ » «—нќ 31\5\2014 ё«ЎЏ Џгбн«  «бнж”Ён… #бнб…_«б‘еѕ«Ѕ #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« #«бгё«жг…_«бЏ—«ён…_Ќ м_«бд’— https://t.co/2jvCTBM0Ed†,sadness,,,,
«г—ня« ен «бЏѕж «б«жб бћгнЏ «бгЌ—жгнд ж«бг” ÷ЏЁнд гд ‘Џж» «бЏ«бг б–бя гд «ћб «ЎЁ«б Ёб”Ўнд нћ» гё«ЎЏ… «г—ня« #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« https://t.co/Yq5d2sXsXZ†,anger,,,,
яб «бгћ«“— «б н ЁЏбе« «бян«д ж»г”«Џѕ… √г—ня« жг”«Џѕ… «бЏгб«Ѕ гд «бѕжб «бЏ—»н… жег г” г—нд Ён «б Џ«жд ж«бг”«Џѕ«  бяц   џ–м Џбм ѕг«Ѕ «б«ЎЁ«б ж«б«»—н«Ѕ ж »«ѕ «бгѕд »”я«де« яЁ«яг  Џ«жд гЏ √г—ня« #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« https://t.co/avVwkMi5aR†,anger,,,,
Ќ÷— ”г«Ќ… #«б‘нќ_ён”_«бќ“Џбн гћб” Џ“«Ѕ Џбм —жЌ «б‘нќ гЋдм ¬б Ќ« г ¬б Ќ”д «бЌ”д«жн √гн— ё»«∆б »дн Ќ”д ж«б–н √ёнг Ён «бдћЁ «б√‘—Ё жёѕг ”г«Ќ е «бЏ“«Ѕ бЏ«∆б… «бЁёнѕ «б–н нЏѕ гд «б‘ќ’н«  «бЏ‘«∆—н… «бгЏ—жЁ… »жЎдн е« жѕж—е« Ён ≈’б«Ќ –«  «б»нд ж Џ“н“ «б√Џ—«Ё «бЏ‘«∆—н… ж«б«ћ г«Џн… «б—’нд… https://t.co/qPYvjkmqx7†,sadness,,,,
#«б‘нќ_«б√гнд нЌ÷— гћб” Џ“«Ѕ «б‘нќ гЋдм ¬б Ќ« г «бЌ”д Ён «бдћЁ «б√‘—Ё жнёѕг бег «б Џ«“н »Ёёнѕег https://t.co/hMgY59of0g†,sadness,,,,
ЌѕЋ ген» е–« «бнжг ?? ќ—жћ «б‘Џ» «бнгдн »«бя«гб бд’—… «бё÷н… «бЁб”Ўндн… «бнгд нќ—ћ »«бг”н—«  ж«б’ж« нќ ж«бЌ‘жѕ «б»‘—н… гд нЁЏбе« гд «б‘Џж» «бЏ—»н… гд !! #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« https://t.co/TIhFPoyLns†,anger,,,,
»е–е «бябг«  «бгЏ»—… √” ё»б ‘нжќ жжће«Ѕ ё»нб… «б Ќ”д √Ћд«Ѕ Ќ÷ж— ”г«Ќ… #«б‘нќ_«б«гнд «бм гћб” «бЏ“«Ѕ «бгё«г Џбм —жЌ «бЁёнѕ «б‘нќ гЋдм «б Ќ« г «бЌ”д«жн ‘нќ ё»нб… «б Ќ”д —Ќге «ббе . https://t.co/i6YUb7qmoW†,sadness,,,,
»Џѕ яб «бн ’«— г” Ќнб « ќнб ‘ќ’ нЋё »√г—ня« жг« нЏбд «бЏѕ«Ѕ ж«бгж«ће… «бе« ”ж«Ѕ »«бж«ёЏ «ж «бгж«ёЏ ж’ЁЌ« д« жёдж« д« ≈бн ”«я  Џд √ћ—«г ≈г—ня« жѕЏге« ббян«д —«Ќ н Ќ«”» б√д г«яж г»—— бб”яж  ?? #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« https://t.co/9XcpbamexD†,anger,,,,
"Ќ÷— «б√гнд «бЏ«г бЌ—я… Џ’«∆» √еб «бЌё ”г«Ќ… «б‘нќ ён” «бќ“Џбн° гћб” «бЏ“«Ѕ «бгё«г Џбм —жЌ «б‘нќ гЋдм ¬б Ќ« г ¬б Ќ”д «бЌ”д«жн° √гн— ё»«∆б »дн Ќ”д° ж«б–н √хёнг Ён «бдћЁ «б√‘—Ё. жёѕшг «б‘нќ «б√гнд «бЏ“«Ѕ бЏ«∆б… «бЁёнѕ° «б–н нхЏуѕхш гд «б‘ќ’н«  «бЏ‘«∆—н… «бгЏ—жЁ… »жЎдн е« жѕж—е« ? https://t.co/7PrBedKJQP†",sadness,,,,
"#«гнд_«бЏ—«ё ”г«Ќ… #«б‘нќ_ён”_«бќ“Џбн нЌ÷— гћб” «бЏ“«Ѕ «бгё«г Џбм —жЌ «б‘нќ гЋдм ¬б Ќ« г ¬б Ќ”д «бЌ”д«жн° √гн— ё»«∆б »дн Ќ”д° ж«б–н √хёнг Ён гЌ«Ёў… «бдћЁ «б√‘—Ё. #«б‘нќ_«б«гнд https://t.co/86ww9RLAUg†",sadness,,,,
«бЌ«ћ «»ж ў«Ё— «б“н«ѕн дЏбд гжёЁд« «бм «ќ— «бѕе— гё«жг… ж»ж’б д« Ёб”Ўнд† ё÷н д«  Ќ—н— Ёб”Ўнд #«ббж«Ѕ_«бж«Ќѕ_ж«б«—»Џжд #Џ’«∆»_√еб_«бЌё #√ќж…_“нд» #ћджѕ_«бќ“Џбн https://t.co/hOcjpLmwhi†,none of them,,,,
"#«б‘нќ_«б√гнд нЌ÷— гћб” Џ“«Ѕ «б‘нќ гЋдм ¬б Ќ« г «бЌ”д Ён «бдћЁ «б√‘—Ё° «бгё«г Џбм —жЌ «б‘нќ гЋдм ¬б Ќ« г ¬б Ќ”д «бЌ”д«жн° √гн— ё»«∆б »дн Ќ”д° ж«б–н √хёнг Ён «бдћЁ «б√‘—Ё. жёѕшг «б‘нќ «б√гнд «бЏ“«Ѕ бЏ«∆б… «бЁёнѕ° «б–н нхЏуѕхш гд «б‘ќ’н«  «бЏ‘«∆—н… «бгЏ—жЁ… »жЎдн е« жѕж—е« Ён ≈’б«Ќ –«  «б»нд ж Џ“н“ «б√Џ—«Ё «бЏ‘«∆—н… ж«б«ћ г«Џн… «б—’нд…. #«б‘нќ_ён”_«бќ“Џбн†",sadness,,,,
«нё«Ё д“нЁ «бѕг Ён #—ЁЌ »нѕ яб «б‘Џж» «б н  ѕЏн «бЏћ“ жен  ” ж—ѕ «бгд ћ«  «б√г—нян… ж”н«—«  «б «еж« ж«б«нЁжд жџн—е« «г—ня«  гѕ «бгЌ б »«б’ж«—нќ «б–н н”ёЎ Џбм —ƒж” «бЁб”Ўндннд гё«ЎЏ я бгд ћ« ег ен д’—е б«еб #џ“… #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« https://t.co/eNlTCmsILm†,anger,,,,
гЌ«÷—… б№ ”г«Ќ… #«б‘нќ_«б«гнд Џд «бЏб«ё… »нд гЌгѕ «бгеѕн (Џћ) ж»нд —”жб «ббе гЌгѕ ’бм «ббе Џбне ж¬бе ж”бг.. #«ббег_Џћб_бжб?я_«бЁ—ћ https://t.co/lB5EyERUOg†,none of them,,,,
"«бгё«ЎЏ… нћ» √д  ‘гб гЋб« «бгж»«нб«  «б«нЁжд ж«бгЎ«Џг «б”н«—«  «бћѕнѕ… ""«б «еж« "" ж«ббн »нед ÷—— ""«бж«—ѕ"" ж«б‘—я«  «б√г—нян… «бдЁЎн… ж‘—я… ћд—«б «бя —ня «б н  ”нЎ— Џбм «џб» Џёжѕ «бяе—»«Ѕ Ќ м б«  яжд «бгё«ЎЏ… ЁёЎ ‘Џ«— б«“г дё«ЎЏ яб‘н «г—нян дРѕ— бж б«њ #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня«†",anger,,,,
"«б‘нќ «б√гнд нЌ÷— гћб” Џ“«Ѕ «б‘нќ гЋдм ¬б Ќ« г «бЌ”д Ён «бдћЁ «б√‘—Ё Ќ÷— «б√гнд «бЏ«г бЌ—я… Џ’«∆» √еб «бЌё ”г«Ќ… «б‘нќ ён” «бќ“Џбн° гћб” «бЏ“«Ѕ «бгё«г Џбм —жЌ «б‘нќ гЋдм ¬б Ќ« г ¬б Ќ”д «бЌ”д«жн° √гн— ё»«∆б »дн Ќ”д° ж«б–н √хёнг Ён «бдћЁ «б√‘—Ё. жёѕшг «б‘нќ «б√гнд «бЏ“«Ѕ бЏ«∆б… «бЁёнѕ° «б–н нхЏуѕхш гд «б‘ќ’н«  «бЏ‘«∆—н… «бгЏ—жЁ… »жЎдн е« жѕж—е« Ён ≈’б«Ќ –«  «б»нд ж Џ“н“ «б√Џ—«Ё «бЏ‘«∆—н… ж«б«ћ г«Џн… «б—’нд…. #ён”_«бќ“Џбн #Џ“«Ѕ_¬б_Ќ« г†",sadness,,,,
«бЌ«ћ «»ж ў«Ё— «б“н«ѕн дЏбд гжёЁд« «бм «ќ— «бѕе— гё«жг… ж»ж’б д« Ёб”Ўнд† ё÷н д«  Ќ—н— Ёб”Ўнд #«ббж«Ѕ_«бж«Ќѕ_ж«б«—»Џжд Џ’«∆» √еб «бЌё √ќж… “нд» ћджѕ «бќ“Џбн https://t.co/YS3U1gm6bE†,favoritism,,,,
г« д—«е «б«д гд ћ—«∆г Ён џ“… жѕг«— б»«ён «б‘Џж» жяб «бЏ«бг еж »—Џ«н… ¬г—ня« «б‘нЎ«д ж ќЎнЎе« . е–е «бѕжб… «бг«—ё… ’«дЏ… «бЁ д «б н  Џ «‘ Џбм «“г«  «б‘Џж» бн”  ”жм √бе ббё б ж«бѕг«— жб« н ћ«еб –«бя ”жм «бгџЁбнд ж«бгдЌ—Ёнд «ќб«ён«р жЏѕнгн «б«д”«дн… ж«б‘—Ё #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« https://t.co/NK6jF0c5ob†,anger,,,,
#—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« ‘«еѕж« е–е «бгћ«“— »”»» ѕЏг «г—ня« б≈”—..«∆нб жЁн «бжё  дЁ”е нўе—жд Џбм √дег д«‘—жд бб”б«г жгЌ»жд ббЌ÷«—… жѕ«Џгжд бЌёжё «б≈д”«д ж«бѕнгё—«Ўн… бяд «бЌёнё… «г—ня« ёг… «б«” »ѕ«ѕ ж«б≈..—е«» ж«бЎџн«д жћгнЏ «бг’ЎбЌ«  «бжЌ‘н…  бнё »ег ! https://t.co/Ko3CCcC2Jg†,anger,,,,
«д яб г’«∆» «бг”бгнд гд √г—ня« #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« https://t.co/U7KvY4pNtr†,anger,,,,
Ён «бЏ—«ё ея–«  г  гё«ЎЏ… «г—ня« ж«б≈” нб«Ѕ Џбм гЏѕ« ег «бЏ”я—н… жЌ—ёе« Ёеб  ” ЎнЏ «б‘Џж» «бЏ—»н… ж»«бќ’ж’ гдЎё… ѕжб «бќбнћ гд Ў—ѕ «бёж«Џѕ «б«г—нян… «ж ÷—»е« »Ќћ«—… Ён «÷ЏЁ «б≈нг«дњ #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« https://t.co/TszeKrtYCI†,anger,,,,
"яб «бѕжб «б н ѕќб е« «г—°°ня« бг ндЏг «ебе« »«б«” ё—«— .. «г—°°ня« ж«”—«°°∆нб «б‘нЎ«д «б«ћ—» . #«г—ня«_ж«б’е«нд…_«—е«»нжд #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« https://t.co/4lcpkrPazK†",anger,,,,
"«г—ня« гд–  √”н”е« «бм «бнжг° жен  Ќ«жб  ћжнЏ жё б «б‘Џж» «б н б«  ё»б »”н«” е« . #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« https://t.co/S0qmcXVn17†",anger,,,,
??нд»џн Џбм яб г”бг √д нд »е: √д √г—ня« ен √’б яб Ё”«ѕ жёЏ Ён «б√—÷.. жен «б н √жёѕ  дн—«д ћгнЏ «бЌ—ж» «б н жёЏ  Ён «бЏ«бг ХХџн— –бя ен ж—«Ѕ Ё”«ѕ «б≈бЌ«ѕ.жЁ”«ѕ «б√ќб«ё.жЁ”«ѕ «б д’— ж«б яЁн—..жЁ”«ѕ «б√Ёя«—..жЁ”«ѕ «бёжгн«  ж«бЏ’»н«  жЁ”«ѕ «б«ё ’«ѕ жџн—е« #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« https://t.co/8Bu7RyMoLm†,anger,,,,
”нЁ «бгё«жг… «б«”б«гн… Џбм —ё»… «б’е«нд… бг н »ём «б« «бёбнб ж«б’е«нде  Џбд «б«” ”б«г ЁёЎ дЌ «ћ «бм жёЁ… Џ—»н… гжЌѕ… ж я« Ё «б‘Џж» «бЏ—»н… жгё«ЎЏ… яб «ё ’«ѕ «ћд»н ё«ѕг гд «г—ня« б«де« «б”»» «б—∆н”н ж«б«жб бяб ѕг«— «бЏ«бг #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« https://t.co/rlIXbqRMRJ†,anger,,,,
Ђг« ѕ«г  √г—ня« »«ён… Ё” »ём е–е «бг’«∆»  Џ’Ё »«бЏ«бгї ?#«б≈г«г_«бќгнднш? (ёхѕцш” ”—хше) #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« https://t.co/kog3V53F16†,anger,,,,
"Џбм «б‘Џж» «бЏ—»н… «д  Џн ћнѕ«р «д г’бЌ… «г—ня« »«бѕ—ћ… «б¬”«” еж Ќг«н… ≈”—«∆нб жѕж«г  гѕѕе« Ён «бгдЎё…° б–бя б«»ѕ гд Ћж—… ÷гн— Џ—»н Ќ— нд Ё÷ ÷ѕ «бЌя«г «бгЎ»Џнд «б–нд »«Џж« Ёб”Ўнд »”яж ег Џд «бћ—«∆г «б н н— я»е« ‘н«Ўнд «б√—÷ »Ќё «бг”бгнд. #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня«†",anger,,,,
ё«ЎЏ жб«  Ёя— жб«  »ём Џбм «бЌн«ѕ...... #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« https://t.co/RxTmPooThY†,anger,,,,
"яб гд н÷Џ нѕне »«н«ѕн «г—ня« Ёеж ‘—ня »ё б ‘Џ» Ёб”Ўнд бн” «б‘Џ» «бЁб”Ўндн ЁЌ”» »б яб «б‘Џж» «бгўбжг… Ён «бЏ«бг «б н  ”нЎ— «г—ня« Џбм гёѕ—« е« ж енгд Џбм »бѕ«де« ж Ё—÷ «бЌ’«— Џбм «б»бѕ«д «бг”бг…° «г—ня« «бЌ«гн «б‘—Џн бб’е«нд… жгё«ЎЏ… «г—ня« ж«ћ» ‘—Џн. #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« https://t.co/I5U1WaVcLz†",anger,,,,
"яхб ѕг«— ж ё№ №.№б Ён «бЏ«бг н—ћЏ ”»»е «б«жб б√г—ня«°гд ѕг«— «бЏ—«ё «бм ”ж—н«°ж ѕгн— «бнгд Ћхг «б«д «б”жѕ«д ж џ“… «бЏ«бг «д Ё÷ б√ћб џ“…°«б« «г—ня«!   Ё—ћ янЁ нхё б «б«ЎЁ«б ж д ея «бЌх—хг«  #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« https://t.co/0gBDmgwTLb†",anger,,,,
гЌ«÷—«  б”г«Ќ… «б‘нќ ён” «бќ“Џбн «бгеѕн Ён «бё—¬д #«ббег_Џћб_бжб?я_«бЁ—ћ https://t.co/v8MFKo9Yzw†,happiness,,,,
«бЏѕж «бЌёнён бб‘Џж» «бЏ—»н… ж«б≈”б«гн… ё«ЎЏж« √г—ня« #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« https://t.co/xRgE29rzkb†,anger,,,,
е«г ?????? «бм яб гд бѕне ÷гн— Ќн жнЌгб «б≈д”«дн… ??? дЎбё «б¬д «бЌгб… «б≈Џб«гн… «бЏ«бгн… бд’—… «б‘Џ» «бЁб”Ўндн гд ќб«б ж”г »Џдж«д: #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« Џбм яб џнж— «бг”«ег… Ён «бЌгб… жЁ÷Ќ «б”н«”… «б√г—нян… «б н  »нЌ бб’е«нд… ё б ж ећн— «б‘Џ» «бЁб”Ўндн «бгўбжг. https://t.co/tDIlnmGxqd†,anger,,,,
«ндг« ж÷Џ  «г—ня« нѕне««бё–—… «Џбг √д ед«я «бгж  ж«бќ—«» бёѕ Џ—Ёд« –бя гд Ќ—ж»е« «” ќѕг  –ќ«∆— «бнж—«днжг Ён «бЏ—«ё ќб«б Ќ—» «бќбнћ »г”«Џѕе «бќбнћ ж»Џѕе« ”ж—н« жгд ё»бе« Ёб”Ўнд «бћ—Ќ «бг ћ–— бЏд «ббе «б‘нЎ«д «б√я»— жгд ж÷Џ нѕег »нѕе« #—ЁЌ_ »«ѕ_ё«ЎЏж«_«г—ня« #—ЁЌ_ х»«ѕ https://t.co/GCsuLlnKub†,anger,,,,
"«б‘нќ «б√гнд н“ж— —∆н” Ќ—я… »«»бнжд “«— «б√гнд «бЏ«г бЌ—я… Џ’«∆» √еб «бЌё ”г«Ќ… «б‘нќ ён” «бќ“Џбн° —∆н” Ќ—я… »«»бнжд —н«д «бябѕ«дн. https://t.co/a81eYeWEKj†",favoritism,,,,
