number,post,label
1382416714579726337,...,anger
1429293799625342987,...,anger
1268080271804567552,...,anger
1261415809617932289,...,anger
1252642193795354628,...,anger
1287793356836425728,...,anger
1242878476711071744,...,anger
1312109077506400259,...,anger
1384848968916549634,...,anger
1261714491567493121,...,anger
1249177017922260992,...,anger
1351518350040571905,...,anger
1232186030310281218,...,anger
1358960382111580161,...,anger
1361512696013869058,...,anger
1268895857606299648,...,anger
1356585002918674434,...,anger
1401583800757465093,...,anger
1455998206941306884,...,anger
1401286978679840770,...,anger
1415736534326722564,...,anger
1469643109189492740,...,anger
1464270139302584324,...,anger
1426227860834975749,...,anger
1270298744584654853,...,anger
1241460233169403904,...,anger
1466788211758407686,...,anger
1466027251397541891,...,anger
1466537588039294981,...,anger
1467479348630499329,...,anger
1466748703784505344,...,anger
1343987565192503299,...,anger
0,واللي أقلقتهم وآذيتهم ونكدت عليهم وضيقت عليهم كيف تعتذر؟,anger
0,الهدف منها تخويف الناس حتى ياخذون اللقاح,anger
0,تغريدة اخرى ليس فيها اي مصداقية ولا دليل يثبت هالكلام,anger
0,خطتهم هي قتل الناس نفسيا واضعاف مناعتهم عن طريق التخويف والترعيب,anger
0,والله أنتم مسبب الرعب والقلق,anger
0,سلسلة من المتناقضات في مسرحية كورونا,anger
0,ماافهم ليش ترويع المسلم؟ةةة,anger
0,انا ادافع عن حرية اختياراتي الصحيه مايجوز اجبر على علاج,anger
1294709053357199363,...,anger
1262123277687930880,...,anger
1464855063088840706,...,anger
1263222685590523904,...,anger
1458291828650881028,...,anger
1279523266454081539,...,anger
1265297570194227201,...,anger
1283214311406665730,...,anger
1264168171847761920,...,anger
1240392835544879105,...,anger
1310255330853556225,...,anger
1420100679344041992,...,anger
0,الله ياخذ الصين يارب الله ينتقم منهم,anger
0,الصين هي السبب في هذا الوباء احسبنا الله فيهم الم من تستروا من اجل المصلحه الشخصيه,anger
0,الله ينتقم منهم شر انتقام,anger
0,الله ياخذ حكومه الصين الملحده المجرمه,anger
0,اجل شالفايده نأخذ اللقاح! واجباري بعد وش فايدته مايكفي الجرعتين بتزودون,anger
0,حسبنا الله ونعم الوكيل. في من كان السبب.,anger
0,الله يسد نفسكم😡,anger
1468625316784619532,...,anger
1265909296270893056,...,anger
1265895430149353474,...,anger
1243213714645532677,...,anger
1237829542724751362,...,anger
1412341547413164034,...,anger
1396867913324302351,...,anger
1250372031113318401,...,anger
1301909329000435712,...,anger
1453349524639031299,...,anger
1251869709701722113,...,anger
1284117492462428161,...,anger
1234518845379039233,...,anger
0,لقاحاتهم فاشله يبعون ويشرون فيها ويضحكون ع الدقون والأغبياء إذاا ضحكوا علي المرة الاولى والمرة الثانية ماراح يضحكوا علينا مايطيح مرتين الا أخس الطيور,anger
1465929704863674371,...,anger
1467531384734556167,...,anger
1467475944562700291,...,anger
1467476414421250052,...,anger
1468491209085698053,...,anger
1467297349928210435,...,anger
1466873570932498437,...,anger
1468969148696854535,...,anger
0,الله لا يوفقهم هم من نشروا الفيروسات وأحضروها إلى افريقيا مثلما ظهرت الحمة في سنة 1918 في امريكيا ونقلوها إلى افريقيا عبر جثث موتى ونقلها في سفن حسبنا الله ونعم الوكيل .,anger
1466787803858149385,...,anger
1466787832459141127,...,anger
1467038267140939784,...,anger
1467091295369891840,...,anger
1466888047799193603,...,anger
1466877479302447106,...,anger
1467035705801072640,...,anger
1467051115233660929,...,anger
1466540258154061832,...,anger
1465010735516467212,...,anger
1463916591163351043,...,anger
1463923192997855241,...,anger
1463944102337200130,...,anger
1463903104026529803,...,anger
1465991585116704773,...,anger
1465966749111795713,...,anger
1466817879018516484,...,anger
1465967436071673856,...,anger
1449008458070646788,...,anger
1452986578394046465,...,anger
1400069517112492034,...,anger
1271421549447389185,...,anger
1466794190378045448,...,anger
1467263370948657153,...,anger
1274472005564334081,...,anger
1292808489497174018,...,anger
1317733440289124353,...,anger
0,اسأل الله ان يهمه ويكرب عليه مثل ما سوى بالطلاب,anger
0,شكراً وزير الصحه حيث وجهت ودليت ولكن الناس لاحياة لمن تنادي؟؟ اليوم الرابع لي من الإصابه بسبب العيد وبسبب تهاون بعض الأشخاص هداهم الله في اتخاذ الاجرآءت الاحترازيه,anger
0,اقول عاد ترا مو حلاو هو,anger
0,طيب فيه شباب امس جو من اسبانيا ماخفتو انهم جايبين المرض معهم على طول يداخلو مع الناس ولا انعزلو عنهم مقهوره منهم مدري وش عقولهم الي يروحو ويجو ويخالطو الناس ولا معبرين انه يمكن يظرو بلد بالكامل بسبب استخفافهم,anger
0,مايكفي استهبال على الناس نهاية الفلم متى خلاص سرقتوا الصندوق الصحي كفاية كذ,anger
0,ي حوووول قبل شوي كنت جالسه اقول ماعندنا ولا حالة 😖 حسبنا الله ونعم الوكيل على ايران نشرت كورونا للبلدان العربيه😡😡,anger
1245694007633678337,...,anger
0,ياالله مَاَقرف الصين🇨🇳🇨🇳🤮🤮🤮 هِيَ جابت الكورونا,anger
0,حسبي الله ونعم الوكيل ع من اجبرنا باخذ اللقاح,anger
0,انتم كادبون هم ماتو باللقاح و ليس من الوباء خافو من الله عز و جل مادا ستقولون اليه حسبي الله و نعم الوكيل,anger
0,حسبنا الله ونعم الوكيل. يقتلون الناس بتجاربهم السيئة ويحملون المسؤولية للذين لم يتلقحوا بأنهم السبب ليجبروهم بطريقة أخرى على أخذ اللقاح من أجل حماية الكبار في السن. ويتكتمون على الوفيات والمضاعفات بسبب اللقاح بين كل الأعمار,anger
0,اللقاح هو المتسبب في التحورات و هادا شي طبيعي جدا أوقفو التطعيم الفاشل و كفاكم تخويفا للعالم و صرف نظرهم عن قضايا أهم من هذه السخافة,anger
1466128304268722177,...,anger
1274325702255443968,...,anger
1252358626896830466,...,anger
1316827343676149760,...,anger
1467155845993611266,...,anger
1465467703511203844,...,anger
1277728105734512642,...,anger
1437472798117666827,...,anger
1393930210723119106,...,anger
1260479388782669827,...,anger
1362588219553030147,...,anger
1420002135266234406,...,anger
1297171353171353602,...,anger
1290401840501329920,...,anger
1432452189105139713,...,anger
1266904797686480896,...,anger
1425373805682302980,...,anger
1455766460656242693,...,anger
1352665289092198401,...,anger
1409962467002814464,...,anger
1422282215111675904,...,anger
1421715899820748800,...,anger
1242812803389538304,...,anger
1362094131946938375,...,anger
0,الله ياخذ كورونا جد !! كل يوم تصدمني بأحد,anger
0,وش ذا التلميحات الخايسه! طول السنه الوضع فله توكم تفكرون على قرب رمضان!!,anger
1465262843801055232,...,anger
1467828735692914697,...,anger
1467829215433211904,...,anger
1322555182337675264,...,anger
1467461231518887940,...,anger
1467469020307898374,...,anger
1463913047161024514,...,anger
0,حسبي الله عليك يبي يذبحنا ذا كيف يدخلون احد بدون ما يحللونه قبل ما يدخل !!!,anger
1370002636943024131,...,anger
1420364657458618371,...,anger
1438317020584550406,...,anger
1430755391764303876,...,anger
1274398993221595139,...,anger
1466338674954719236,...,anger
1466096795587645444,...,anger
1429769382004236291,...,anger
1355954874287058946,...,anger
1466118908801388556,...,anger
1240983407900925953,...,anger
1268948515121758208,...,anger
1376906144724172802,...,anger
0,المشكله أنه نحن غير الملقحين محرومين من الدخول لكل الآماكن,anger
0,بصراحه اررى كثير من الأهمال من قبل الكثير من الوافدين وعدم حرصهم على غسيل اليد ولاالتعقيم والمخالطة والنظافه الشخصيه وقربهم لبعض ولاضاربين حساب . اتمنى من وزارة الصحة نشر توعية شديدة اللهجه بعدة لهجات على شكل مطويات ورقيه وتوزيعها لهم لعلهم يفيقون من اهمالهم,anger
1242142523130339330,...,anger
1241862845924589568,...,anger
1466889817724235778,...,anger
1242819463310970881,...,anger
1465961345808019462,...,anger
1466046595955318791,...,anger
1312541007678861312,...,anger
1273238152791101451,...,anger
1238467280142512129,...,anger
1268846022765264896,...,anger
1242469204554444801,...,anger
1465997780019724288,...,anger
1466789459811258368,...,anger
1449688883332096001,...,anger
1378782977518362637,...,anger
1466807942343237632,...,anger
1465104484074409986,...,anger
1465985305647923200,...,anger
1444518113240829954,...,anger
1444336294486814720,...,anger
1467899484642451462,...,anger
1467597417247907852,...,anger
1467480260610510848,...,anger
1467603340683059200,...,anger
1467381544792772613,...,anger
1467404725142364160,...,anger
1468719225111867393,...,anger
1466600146809069570,...,anger
1340742920228487168,...,anger
1428522306247217162,...,anger
1372843362387116032,...,anger
0,إذا كانت اللقاحات قد أظهرت فعاليتها للمتحور دلتا كما تدعي فبماذا تفسر لنا إرتفاع عدد الإصابات و الموتى و مرضى الطورىء في دول لقحت أكثر من 70%من مواطنيها كالنمسا و ألمانيا و....و.....في الموجة الرابعة .,anger
0,حمى و زكام وكحة ، الحين هاي الموسمية قالوا عنها كورونا و متحور بعد ، والله اكتفينا خلاص نبا نعيش 👎🏻,anger
1254447421498839040,...,anger
1271377682308177920,...,anger
1247981971751518216,...,anger
1319319004742299648,...,anger
1395358984694112259,...,anger
1420586211685580803,...,anger
1468559736115277832,...,anger
0,المشكله أنه نحن غير الملقحين محرومين من الدخول لكل الآماكن 😡,anger
1413447839720493056,...,anger
1438149284269072386,...,anger
1469633073683836929,...,anger
1469643521116319744,...,anger
0,كافي كذب بعد ماحدا راح يصدق كذبكم حتى لو تخرجتوا فديوهات مفبركة العالم ديموت فيها مراح نصدق شي,anger
0,والله المرض الحقيقي هو الاعلام الغبي مثل العربية,anger
0,بقائكك في منزلك احسن من لا تجييب الامراض والاشياء لأهلكك لكن صاير واجد استهتار ما شي مسؤولية ....اللهم ابعد عنا هذا الوباء والبلاء 💜,anger
14653035139285073920,...,anger
1469777419536060418,...,anger
0,بس اشان يبيعون لقاحاتهم واحنا تجاربهم. لا إله إلا الله محمد رسول الله,anger
1469643109189492740,...,anger
1469679294301495296,...,anger
1469720154816843776,...,anger
1469727789691641857,...,anger
1469743402363330569,...,anger
0,الله لايوفق الصين بتاكل اي شي ماكان وبتعدي العالم,anger
0,قريبا سيدفع كل من روج لهذا اللقاح لقتل الشعوب والقبائل وإذلالها ثمنا باهضا جدا جدا سنطاردهم علي ارض وتحت كل سماء,anger
0,القضاء علي البشر وليس علي الفيروس الوهمي انتبهو من سمومهم,anger
1390472189342896131,...,anger
1320064292994023426,...,anger
1413960437088071680,...,anger
1296626257514422277,...,anger
1293251071083675648,...,anger
1469633767203557377,...,anger
1469716452718616579,...,anger
1468868077240696839,...,anger
1469739025695191041,...,anger
1469739055273414661,...,anger
1469636775647793152,...,anger
1466846232769404934,...,anger
1468173694090551296,...,anger
1469250097913417728,...,anger
1468819376757428225,...,anger
1406920423841882115,...,anger
1406926207631998980,...,anger
0,حسبنا الله ونعم الوكيل في من ينشر ويصنع هذه الفيروسات في المخابر لإبادة البشر لكن قدرة الله فوق خططهم الخبيثة مافيا الدواء تفعل كل شيء للتجارة ولكسب الأموال المهم المال ولو على حساب ارواح الناس,anger
1467162681857687556,...,anger
1466316032373575685,...,anger
1341000326963453952,...,anger
1267206443159207938,...,anger
1467952431627743232,...,anger
1469745252479258635,...,anger
0,حسبي الله ونعم الوكيل علي شركات البحث العلمي وشركات الأدوية كورونا هدا اسمة دمار العالم,anger
0,لقد اجرمت الصين في حق البشرية ويجب معاقبتها وتحميلها كافة الاضرار الناجمة عليهم الله ومقته,anger
0,أسكت اذا ماتفهم العلاج لايعني سيطبق بعد ايام والله الجهل كارثة العلاج أو الدواء أو اللقاح يحتاج أشهر أو أكثر لتجربتة ثم الانتاج ثم التوزيع ماهو عصاة سحرية= اذا العالم كمامات ماعندها,anger
0,جرعه ثالثه لا بوك لابو الي جابك انت ماشفتني يوم اخذت الجرعه الثانيه جلستنا اربع ايام ونا في سكرات الموت قسمن بمن احل القسم ان كلامي هذا صحيح لو يفرضون علي جرعه ثالثه لانتحر تراها عاد؟؟,anger
0,هذا لو كان الرمان خالي من الاضافات الكيماويه من سماد وغيره فكل فاكهه خلقها الله مفيدة لنا كطعام وعلاج لكن يد الإنسان عبثت بها ولم تتركها طبيعيه كما خلقها الله لنا !,anger
0,هذي ليست نصائح بل تخويف,anger
0,مجرد تسويق وستغلال الناس من المرض ودفعهم لشراء ادويتهم فالتخويف جريمة استغلال وضحيه,anger
0,وسايل الاعلام والمستفيديين مايبون علاج مبسوطين على هالوضع,anger
0,الله لا يعطيهم عافيه مو معروف ان بعض المتعافين اصيبو مره ثانيه فلما استغباء الناس واداخالهم بتجارب فاشله ومميته,anger
0,ماعندهم الا سحب المال وتنظيف الجيوب مانبية و متوكلين على الحي الذي لايموت بدون اختراعات فاشلة,anger
0,اللي صايرعندنا شي غير طبيعي ويقتل ام المناعه والنفسيه وهي كثره مايحرر علئ الناس من مخالفات كرهتونا بعيشتنا وقرفتونا لن تجدي معنا اي لقاحات لقاحنا الوحيد ان تخافو الله فينا,anger
0,خربط مريط كذابين .؟ هذا كلها أعراض أمراض البرد اللي نعرفها لو إنكم صادقين كان صنعتم علاج لهاذا المرض,anger
0,قلت لك انت جاهل بالدين والعلم وفن المحاورة ولا تجيد شيء سوى أنك نائحة مستأجرة تهذي بمالا تفقه وتجادل في امور تدل على ضحالتك الفكرية والاجتماعية وتلهث وراء الفساد كالجرذ الذي يعيش في القذاورات,anger
0,الإنسان الذي يتجاهل لبس الكمام أو ينتقص من قدرتها على حمايته من المرض هو إنسان جاهل بل أحمق وغبي أما من يعرف أنه مصاب بالكوفيد-19 ولا يلبس الكمام فهو مجرم وشرير ويجب محاكمته وسجنه 10 سنوات,anger
0,الحين يجيك واحد احول مريض نفسي ويقول هذا الدواء يسبب العقم العلماء تشتغل وتبحث عن الدواء إلى يخلص العالم من المرض وهذا جالس ع الرصيف وقاعد يفتي الجاهل جاهل حتى لو لبس ثوب من ذهب,anger
0,تاخذه وانت كلب انت وغيرك وراح تشوف انشالله وش حضرتك انت والحمير الي مثلك ماتخذون القاح همج,anger
1400826586765611012,...,anger
1406348778337079303,...,anger
1387444161520017412,...,anger
1396458651628544001,...,anger
1397229215788019716,...,anger
1405978915697479687,...,anger
1388853848035442692,...,anger
1405471839305011200,...,anger
1269254239265710082,...,anger
1276953895634456576,...,anger
1390980816268890112,...,anger
1394734113161162759,...,anger
1348589674596626433,...,anger
1386772004624293891,...,anger
1415913987888267265,...,anger
1454560060236050439,...,anger
1455395759088619521,...,anger
1401485426720968708,...,anger
1234592818615767040,...,anger
1252242003464765441,...,anger
1377969440688644098,...,anger
1395230217120239616,...,anger
1402974162193375237,...,anger
1408733967344455685,...,anger
1410896328465567746,...,anger
1411331045899882500,...,anger
1415019883964813320,...,anger
1395358628501143553,...,anger
1367935992460685318,...,anger
1398337298001973248,...,anger
1405569135124402176,...,anger
1243148303535087616,...,anger
1271532096826355717,...,anger
1403753131616485378,...,anger
1240954856535404545,...,anger
1245340034255015937,...,anger
1394103950140399618,...,anger
1412047744273895428,...,anger
1422495429002993666,...,anger
1384919046349594624,...,anger
1394996638452695046,...,anger
1379413294805581828,...,anger
1395129870779310081,...,anger
1410493739651457029,...,anger
1374372048936574977,...,anger
1377968175069954048,...,anger
1403429302729904135,...,anger
1404167730878631940,...,anger
1407877755149205506,...,anger
1395146550293188609,...,anger
1269471579228049413,...,anger
1387374091963932672,...,anger
1418622534279434249,...,anger
1418621742575128577,...,anger
1397401807807205381,...,anger
1387098494633226246,...,anger
1391433370933071879,...,anger
1246182948635885572,...,anger
1277976103487856644,...,anger
1343147471703302145,...,anger
1408845075019403272,...,anger
1409896667214716931,...,anger
1236750740498124807,...,anger
1381019630605570053,...,anger
1403429704582012937,...,anger
1410364940993638400,...,anger
1417931536171769862,...,anger
1241093890150731776,...,anger
1246340002356830210,...,anger
1361483382870462465,...,anger
1421557986246471680,...,anger
1279030309741355008,...,anger
1267283733738074112,...,anger
1413194849793290246,...,anger
1479232188398944258,...,anger
0,بأي يحق كل يوم تهددونا المرور من جهه والتعليم والصحه والبلديات… وجع,anger
0,تم الاتصال بي صباح اليوم في المنطقة الجنوبية وتم حجز موعد وذهبت. قسم بالله تعبت تعبب لا يعلمه الا الله ألم شديد وصداع رهيب. والمسحه الخبيثه طويله والممرض غير سعودي وشكله حمار . لم يكتفى بربع المسافه ولا النصف شعرت بألم فضيع. وأخرجها من الانف جهة اليمين وادخلها في الجهه اليسرى ونفس الالم والصداع والوجع. ولم استطع اكمال صيام يومي وفطرت من شدة الالم والصداع. حسبي الله عليه شكله كان جزار.,anger
0,الشعب مو مهتم بهذا الوباء مستهزين الأمر خليكم في بيتكم وجع يوجعكم,anger
0,شسالفه كل يوم حالات والمشكله كلهم من برا المملكة طيب ليه تخلونهم يجون ياخي مشكلة كل يوم العدد يزيد تعبت نفسيتنا كل يوم يطلعون ناس جدد,anger
0,يا حكومتنا الرشيدة سوو حظر التنقل بين المدن... بالنسبة للناس هذولي ياخي اذا منت خايف على نفسك خاف على غيرك على كبار السن من والدين وأقارب اهلك من تعز وتحب فكر ف العواقب والناائج تجيبون المرض صدق,anger
0,والله العظيم فيه ناس ماتعرف الحجر ولاتتقيد بتعليمات وزارة الصحه فيما يخص هذا الامر.. هذولا هم اللي اخر الحظر.. رساله لهؤلاء المستهترين : يا اخوان في دولة تدفع مليارات وفيه رجال امن تفطر في الشارع عشان صحتك وانت مستهتر ماتجلس في بيتك.. اغلب الحريم ياخذون عيالهم ويسيرون عند جيرانهم في الحارة وهذي النتايج.. خافوا الله واسمعوا واستجيبو للاوامر.. الدولة تقدم مالديها من امكانيات عشان نبقا بخير وصحة وسلامه.. تعاونو معها واجلسوا في بيوتكم..,anger
0,الاغبياء يرحون يتجمعون بالسوبر ماركت وبسوق الخضرا خايف على بطونهم من الجوع ومهب خايفين من كورونا قعدو في البيوت جعلكم للريح,anger
0,صرلي اسبوع مريضة بكورونا كتير تعبت مفاصلي حاسستن مكسورين الله ينتقم من اللي كان السبب بنشر الفيروس,anger
0,وجع,anger
0,التسجيل على هذي المنظومة جداً صعب حاولت طلعت روحي وانا احاول برنامجهم معلق يقولي خطأ وانا كل يوم احاول ومتأكدة انها صح وهو فيه واجبات وكذا وكل صديقاتي دخلوا خلاص تعبت كل يوم احاول وغير كذا ناس مامعهم جوالات ولانت كيف بيدخلون ؟؟,anger
0,تعليق ٢ ماذا تريد بالضبط كل الأعلام حولك والعالم امامك وتطلب منا نحن النصيحه لماذا اتوقع لك مآرب اخرى الجميع يمتلكون عقولا وهي التي تقودهم للصواب وعليهم تحمل نتائج الاختيار وانت كذلك,anger
0,مبدع رائع ياناصر واقول للي ينتقدوه عندك ٦٠٠٠٠٠ قناه غير مسلسل ناصر ليه تتفرج عليه هههههههههه مع نفسكم,anger
0,ناس همج يحرقون الجثث كمايفعل الهندوس,anger
1234592818615767040,...,anger
1234785004112183296,...,anger
1238044197199978496,...,anger
1239479139226304512,...,anger
1240040918285238276,...,anger
1246405810219073538,...,anger
1250849889069785089,...,anger
1252242003464765441,...,anger
1254462008457641986,...,anger
1255596361124380673,...,anger
1260535645212213253,...,anger
1261245862610636802,...,anger
1265767359681363968,...,anger
1266130723410452482,...,anger
1268663460000382977,...,anger
1271875822346014721,...,anger
1305068897343803393,...,anger
1339899622051987457,...,anger
1340415104907677698,...,anger
1343272994391674881,...,anger
1351591143490904065,...,anger
1367935992460685318,...,anger
1368094641128607744,...,anger
1368517906330435587,...,anger
1369757211094900741,...,anger
1377969440688644098,...,anger
1378149099476779010,...,anger
1384496406388432897,...,anger
1384961293887713281,...,anger
1386772004624293891,...,anger
1387444161520017412,...,anger
1388669340162080769,...,anger
1390979024625745920,...,anger
1390980816268890112,...,anger
1391330030358302720,...,anger
1394734113161162759,...,anger
1395157660459225089,...,anger
1395230217120239616,...,anger
1395358628501143553,...,anger
1395775853313859590,...,anger
1395871877587943424,...,anger
1396003692923531266,...,anger
1396547715111194624,...,anger
1396933349789274112,...,anger
1398107754632462336,...,anger
1398421486080233472,...,anger
1398504156437127170,...,anger
1399188548599922691,...,anger
1399804620810096643,...,anger
1400550596218851334,...,anger
1400826057981411334,...,anger
1401037887722987520,...,anger
1401485426720968708,...,anger
1401847398872322049,...,anger
1401921552707375108,...,anger
1402398777516888067,...,anger
1402922527630974976,...,anger
1402974162193375237,...,anger
1404221881302097920,...,anger
1405204473669197827,...,anger
1405316313262788608,...,anger
1405443368105267207,...,anger
1405471839305011200,...,anger
1405978915697479687,...,anger
1406691932886253568,...,anger
1407451097187422209,...,anger
1407467967353348097,...,anger
1407513785888346112,...,anger
1407757778555445252,...,anger
1407792847240245256,...,anger
1408062577611927568,...,anger
1408470672926515206,...,anger
1408733967344455685,...,anger
1409091266655227909,...,anger
1410512802985525249,...,anger
1410738771801219077,...,anger
1410899413275398146,...,anger
1411331045899882500,...,anger
1411912390791380994,...,anger
1408470672926515206,...,anger
1413167425487523840,...,anger
1413356556201119744,...,anger
1413503869116502019,...,anger
1414159608076115973,...,anger
1414258937617162241,...,anger
1414675597650010114,...,anger
1414887268721078290,...,anger
1415913987888267265,...,anger
1416514317902561287,...,anger
1417193080617377800,...,anger
1419024050026844180,...,anger
1419219653851811840,...,anger
1419935174352117766,...,anger
1434529958232211458,...,anger
1435505000336216069,...,anger
1445990158390661123,...,anger
1449498360214441984,...,anger
1454560060236050439,...,anger
1455395759088619521,...,anger
1240954856535404545,...,anger
1242144895999127552,...,anger
1242943429472137219,...,anger
1243110811306020864,...,anger
1245340034255015937,...,anger
1248673766789582849,...,anger
1251080768190926849,...,anger
1259543870821597184,...,anger
1259609555455049728,...,anger
1259651410376953856,...,anger
1265326687941808134,...,anger
1267884996167073794,...,anger
1270075569955373058,...,anger
1271126437748187143,...,anger
1271532096826355717,...,anger
1272674157420044294,...,anger
1281119595412275200,...,anger
1323981156606529536,...,anger
1342122081769631745,...,anger
1343867665128026115,...,anger
1349711760253661185,...,anger
1350542747229446146,...,anger
1351859582830833665,...,anger
1358349527514836993,...,anger
1358440938511753216,...,anger
1368575852435357701,...,anger
1370280146192773122,...,anger
1374372048936574977,...,anger
1376518230211096578,...,anger
1377968175069954048,...,anger
1379413294805581828,...,anger
1383560193456279562,...,anger
1384919046349594624,...,anger
1385734718705086466,...,anger
1388169281381224457,...,anger
1390734597470703618,...,anger
1392322875277942786,...,anger
1394103950140399618,...,anger
1394844609746976768,...,anger
1394996638452695046,...,anger
1395129391924002818,...,anger
1395129870779310081,...,anger
1395146550293188609,...,anger
1395332622751051779,...,anger
1395357226928328708,...,anger
1395497970414624781,...,anger
1395866772163682311,...,anger
1397176258371457025,...,anger
1398017985210617860,...,anger
1399776623981907968,...,anger
1402964029170200577,...,anger
1403235474731372544,...,anger
1403429302729904135,...,anger
1403753131616485378,...,anger
1404167730878631940,...,anger
1404246777570676738,...,anger
1404566588666359808,...,anger
1404629829954248708,...,anger
1405819611824730112,...,anger
1406714168552706054,...,anger
1407518110991720448,...,anger
1407579370026409986,...,anger
1407723926877257735,...,anger
1407855376452800518,...,anger
1407877755149205506,...,anger
1409487363991126018,...,anger
1410493739651457029,...,anger
1410905946587648001,...,anger
1411084332488404993,...,anger
1411441934372114433,...,anger
1411667229150679042,...,anger
1411757026775121922,...,anger
1411876326659837952,...,anger
1412047744273895428,...,anger
1412919822615187462,...,anger
1412973536713531392,...,anger
1413006952670580736,...,anger
1413166157763334150,...,anger
1413435198411362307,...,anger
1413504603505664003,...,anger
1413873258919772167,...,anger
1414575004591792130,...,anger
1414585164429250567,...,anger
1415018636276899844,...,anger
1415109680066596867,...,anger
1415148463407476736,...,anger
1415918091289219072,...,anger
1416333036551958532,...,anger
1416741938687090697,...,anger
1416744544578777093,...,anger
1416777103559823369,...,anger
